Buyer_Opportunity_Rank,City,County,Current_Home_Value,Appreciation_Percent,Affordability_Rank,Appreciation_Rank,Buyer_Opportunity_Score
1,Blue Mound,Tarrant County,221113,279.81,4,7,11
2,Wilmer,Dallas County,226858,350.54,11,1,12
3,Everman,Tarrant County,222121,272.63,6,8,14
4,River Oaks,Tarrant County,224418,280.85,9,6,15
4,Sansom Park,Tarrant County,203092,265.03,2,13,15
5,Forest Hill,Tarrant County,228731,283.77,12,4,16
6,Hutchins,Dallas County,251565,285.68,16,3,19
6,White Settlement,Tarrant County,223155,265.82,7,12,19
7,Cockrell Hill,Dallas County,221750,252.01,5,15,20
8,Balch Springs,Dallas County,225574,269.11,10,11,21
9,Lake Worth,Tarrant County,239695,272.48,13,9,22
10,Seagoville,Dallas County,272872,250.15,26,16,42
11,Ferris,Ellis County,294302,318.17,41,2,43
12,Haltom City,Tarrant County,246250,222.31,15,29,44
12,Mesquite,Dallas County,263385,230.2,20,24,44
13,Lancaster,Dallas County,273802,247.83,27,19,46
14,Duncanville,Dallas County,280008,232.47,31,22,53
15,Richland Hills,Tarrant County,290970,228.31,37,25,62
16,Garland,Dallas County,290089,224.05,36,28,64
17,Watauga,Tarrant County,279634,207.82,30,36,66
18,Commerce,Hunt County,214131,182.2,3,64,67
19,Italy,Ellis County,265988,192.96,21,50,71
20,Quinlan,Hunt County,282431,201.02,33,42,75
21,Rhome,Wise County,276320,190.87,29,53,82
22,Dallas,Dallas County,312024,212.29,49,34,83
23,Westworth Village,Tarrant County,350307,269.42,77,10,87
24,Grand Prairie,Dallas County,318420,215.02,56,32,88
25,Greenville,Hunt County,244921,176.99,14,75,89
26,Fort Worth,Tarrant County,300445,187.43,43,57,100
27,Cedar Hill,Dallas County,316841,192.82,53,51,104
27,Lake Dallas,Denton County,348512,217.06,74,30,104
28,Milford,Ellis County,256991,171.78,19,87,106
29,Pilot Point,Denton County,327923,198.52,61,46,107
30,Hurst,Tarrant County,340482,204.07,69,39,108
31,West Tawakoni,Hunt County,191877,159.58,1,108,109
32,Arlington,Tarrant County,313207,182.42,50,63,113
33,Palmer,Ellis County,322860,185.39,58,59,117
33,Celeste,Hunt County,349964,202.03,76,41,117
34,Irving,Dallas County,345281,196.22,72,47,119
35,Aubrey,Denton County,350852,200.75,78,43,121
36,Edgecliff Village,Tarrant County,303407,176.26,45,77,122
36,Burleson,Johnson County,340843,192.57,70,52,122
37,Caddo Mills,Hunt County,316438,177.14,52,73,125
37,Farmers Branch,Dallas County,383356,224.39,98,27,125
38,Wolfe City,Hunt County,281874,167.29,32,94,126
39,Runaway Bay,Wise County,291978,168.89,38,89,127
39,Azle,Parker County,336203,184.13,66,61,127
40,Saginaw,Tarrant County,301830,173.14,44,85,129
40,Glenn Heights,Dallas County,331744,181.29,63,66,129
41,Desoto,Dallas County,325158,178.93,60,70,130
42,Blue Ridge,Collin County,439882,281.79,126,5,131
42,Lowry Crossing,Collin County,386227,216.15,100,31,131
43,Reno,Parker County,384707,210.09,99,35,134
43,Ennis,Ellis County,266685,154.79,22,112,134
44,Terrell,Kaufman County,282981,162.69,34,101,135
45,Benbrook,Tarrant County,320772,175.73,57,80,137
46,Krum,Denton County,337089,177.95,67,71,138
47,Sanger,Denton County,360355,188.28,86,55,141
48,Wills Point,Van Zandt County,256807,146.5,18,127,145
49,New Hope,Collin County,439378,232.31,125,23,148
50,Cleburne,Johnson County,272469,149.97,25,124,149
51,Euless,Tarrant County,359472,182,85,65,150
51,The Colony,Denton County,407139,204.3,113,37,150
52,Ponder,Denton County,317035,164.75,55,96,151
53,Kaufman,Kaufman County,293787,153.69,40,113,153
53,Rowlett,Dallas County,372761,184.99,93,60,153
54,Krugerville,Denton County,403295,198.99,109,45,154
55,Bridgeport,Wise County,223996,129.13,8,148,156
56,Keene,Johnson County,253882,137.01,17,141,158
57,Lone Oak,Hunt County,297031,151.58,42,118,160
58,Lakeside,Tarrant County,380243,180.54,96,67,163
59,Grandview,Johnson County,406269,187.74,111,56,167
60,Denton,Denton County,353589,167.86,80,93,173
61,North Richland Hills,Tarrant County,371713,174.33,92,83,175
62,Carrollton,Dallas County,407785,184.07,114,62,176
63,Crowley,Tarrant County,316935,150.5,54,123,177
64,Richardson,Dallas County,448573,193.9,130,48,178
65,Saint Paul,Collin County,591392,227.11,153,26,179
66,Mabank,Kaufman County,275103,122.1,28,152,180
66,Lewisville,Denton County,394360,177.01,106,74,180
67,Joshua,Johnson County,357577,163.72,83,98,181
68,Alvarado,Johnson County,309327,139.99,47,136,183
