City,County,Starting_Value,Current_Value,Appreciation_Percent
Wilmer,Dallas County,50352,226858,350.54
Ferris,Ellis County,70379,294302,318.17
Hutchins,Dallas County,65226,251565,285.68
Forest Hill,Tarrant County,59601,228731,283.77
Blue Ridge,Collin County,115216,439882,281.79
River Oaks,Tarrant County,58926,224418,280.85
Blue Mound,Tarrant County,58216,221113,279.81
Everman,Tarrant County,59610,222121,272.63
Lake Worth,Tarrant County,64351,239695,272.48
Westworth Village,Tarrant County,94827,350307,269.42
Balch Springs,Dallas County,61113,225574,269.11
White Settlement,Tarrant County,61001,223155,265.82
Sansom Park,Tarrant County,55637,203092,265.03
Highland Park,Dallas County,839109,2980735,255.23
Cockrell Hill,Dallas County,62995,221750,252.01
Seagoville,Dallas County,77930,272872,250.15
Lucas,Collin County,308571,1079696,249.9
Bartonville,Denton County,405082,1411153,248.36
Lancaster,Dallas County,78718,273802,247.83
University Park,Dallas County,723620,2481465,242.92
Copper Canyon,Denton County,329296,1103017,234.96
Duncanville,Dallas County,84219,280008,232.47
New Hope,Collin County,132218,439378,232.31
Mesquite,Dallas County,79766,263385,230.2
Richland Hills,Tarrant County,88626,290970,228.31
Saint Paul,Collin County,180792,591392,227.11
Farmers Branch,Dallas County,118177,383356,224.39
Garland,Dallas County,89520,290089,224.05
Haltom City,Tarrant County,76402,246250,222.31
Lake Dallas,Denton County,109920,348512,217.06
Lowry Crossing,Collin County,122167,386227,216.15
Grand Prairie,Dallas County,101078,318420,215.02
Double Oak,Denton County,272909,856659,213.9
Dallas,Dallas County,99913,312024,212.29
Reno,Parker County,124064,384707,210.09
Watauga,Tarrant County,90843,279634,207.82
The Colony,Denton County,133795,407139,204.3
Southlake,Tarrant County,435639,1325023,204.16
Hurst,Tarrant County,111973,340482,204.07
Parker,Collin County,366895,1109674,202.45
Celeste,Hunt County,115872,349964,202.03
Quinlan,Hunt County,93823,282431,201.02
Aubrey,Denton County,116659,350852,200.75
Argyle,Denton County,201469,603412,199.51
Krugerville,Denton County,134887,403295,198.99
Pilot Point,Denton County,109849,327923,198.52
Irving,Dallas County,116561,345281,196.22
Richardson,Dallas County,152629,448573,193.9
Pecan Acres,Tarrant County,253813,743941,193.11
Italy,Ellis County,90794,265988,192.96
Cedar Hill,Dallas County,108205,316841,192.82
Burleson,Johnson County,116498,340843,192.57
Rhome,Wise County,94997,276320,190.87
Westover Hills,Tarrant County,913278,2648340,189.98
Sanger,Denton County,125002,360355,188.28
Grandview,Johnson County,141194,406269,187.74
