County,Average_Home_Value,Home_Value_Rank,Average_Appreciation,Appreciation_Rank,Average_Buyer_Opportunity_Score,Buyer_Opportunity_Rank,County_Performance_Score,Overall_Rank
Collin County,528723.82,3,171.07,5,218.23,5,4.33,1
Tarrant County,546076.62,1,199.83,2,142,12,5,2
Dallas County,541840.36,2,218.96,1,118.2,13,5.33,3
Montague County,462881,7,146.12,8,264,3,6,4
Denton County,527763.73,4,169.91,6,200.58,8,6,4
Rockwall County,467872.75,6,109.13,12,271,1,6.33,6
Parker County,485408.08,5,110.76,11,260.54,4,6.67,7
Ellis County,356524.18,10,177.47,3,165.55,10,7.67,8
Jack County,366065,8,0.77,14,268,2,8,9
Wise County,359028.18,9,138.14,10,206,7,8.67,10
Johnson County,352955.45,11,138.18,9,198.18,9,9.67,11
Kaufman County,328010,12,104.48,13,209.91,6,10.33,12
Hunt County,281977.67,13,175.38,4,117.44,14,10.33,12
Van Zandt County,256807,14,146.5,7,145,11,10.67,14
