City,County,Latest_Date,Current_Home_Value
Addison,Dallas County,2026-05-31,510286
Aledo,Parker County,2026-05-31,538965
Allen,Collin County,2026-05-31,499871
Alvarado,Johnson County,2026-05-31,309327
Alvord,Wise County,2026-05-31,360671
Anna,Collin County,2026-05-31,347996
Annetta,Parker County,2026-05-31,528466
Annetta North,Parker County,2026-05-31,732623
Annetta South,Parker County,2026-05-31,663731
Argyle,Denton County,2026-05-31,603412
Arlington,Tarrant County,2026-05-31,313207
Aubrey,Denton County,2026-05-31,350852
Aurora,Wise County,2026-05-31,489195
Azle,Parker County,2026-05-31,336203
Balch Springs,Dallas County,2026-05-31,225574
Bartonville,Denton County,2026-05-31,1411153
Bedford,Tarrant County,2026-05-31,378425
Benbrook,Tarrant County,2026-05-31,320772
Blue Mound,Tarrant County,2026-05-31,221113
Blue Ridge,Collin County,2026-05-31,439882
Boyd,Wise County,2026-05-31,355596
Briaroaks,Johnson County,2026-05-31,400590
Bridgeport,Wise County,2026-05-31,223996
Burleson,Johnson County,2026-05-31,340843
Caddo Mills,Hunt County,2026-05-31,316438
Campbell,Hunt County,2026-05-31,359132
Carrollton,Dallas County,2026-05-31,407785
Cedar Hill,Dallas County,2026-05-31,316841
Celeste,Hunt County,2026-05-31,349964
Celina,Collin County,2026-05-31,529873
Chico,Wise County,2026-05-31,363420
Cleburne,Johnson County,2026-05-31,272469
Cockrell Hill,Dallas County,2026-05-31,221750
Colleyville,Tarrant County,2026-05-31,925491
Combine,Kaufman County,2026-05-31,410365
Commerce,Hunt County,2026-05-31,214131
Coppell,Dallas County,2026-05-31,626250
Copper Canyon,Denton County,2026-05-31,1103017
Corinth,Denton County,2026-05-31,414325
Crandall,Kaufman County,2026-05-31,267841
Cresson,Parker County,2026-05-31,497337
Cross Roads,Denton County,2026-05-31,335495
Cross Timber,Johnson County,2026-05-31,446434
Crowley,Tarrant County,2026-05-31,316935
Dallas,Dallas County,2026-05-31,312024
Dalworthington Gardens,Tarrant County,2026-05-31,555470
Decatur,Wise County,2026-05-31,436704
Denton,Denton County,2026-05-31,353589
Desoto,Dallas County,2026-05-31,325158
Double Oak,Denton County,2026-05-31,856659
Duncanville,Dallas County,2026-05-31,280008
